Country,Group,alpha-3
Algeria,H,DZA
Argentina,F,ARG
Australia,B,AUS
Belgium,H,BEL
Bosnia and Herzegovina,F,BIH
Brazil,A,BRA
Cameroon,A,CMR
Chile,B,CHL
Colombia,C,COL
Costa Rica,D,CRI
Croatia,A,HRV
Ecuador,E,ECU
England,D,GBR
France,E,FRA
Germany,G,DEU
Ghana,G,GHA
Greece,C,GRC
Honduras,E,HND
Iran,F,IRN
Italy,D,ITA
Ivory Coast,C,CIV
Japan,C,JPN
Korea Republic,H,KOR
Mexico,A,MEX
Netherlands,B,NLD
Nigeria,F,NGA
Portugal,G,PRT
Russia,H,RUS
Spain,B,ESP
Switzerland,E,CHE
United States,G,USA
Uruguay,D,URY
